key,en,zh-Hans,zh-Hant,ja-JP,ko-KR,ms-MY,th-TH,vi-VN,hi-IN,de-DE,fr-FR,pt-PT,es-ES,it-IT,nl-NL,no-NO,sv-SE,ro-RO,cs-CZ
faq.faq3Content,"Its proprietary NovaMind™ AI decision engine integrates market sensing, strategy execution, risk control, and optimization into a closed-loop process for intelligent investing.",其专属的 NovaMind™ AI 决策引擎将市场感知、策略执行、风险控制和优化整合为一个闭环过程，实现智能投资。,其自研的 NovaMind™ AI 決策引擎結合了市場感知、策略執行、風險控制與最佳化，構成一個智能投資的封閉迴圈。,独自のNovaMind™ AI意思決定エンジンが、市場分析・戦略実行・リスク管理・最適化を一体化したループ構造で、賢い投資判断を可能にします。,"독자적인 NovaMind™ AI 의사결정 엔진은 시장 감지, 전략 실행, 리스크 관리, 최적화를 하나의 루프로 통합하여 지능적인 투자 환경을 만듭니다.","Enjin keputusan AI NovaMind™ milik 9M menggabungkan keupayaan mengesan pasaran, pelaksanaan strategi, kawalan risiko dan pengoptimuman dalam satu proses tertutup untuk pelaburan pintar.",NovaMind™ คือระบบตัดสินใจด้วย AI ที่เป็นกรรมสิทธิ์ของบริษัท ซึ่งรวมเอาการตรวจจับตลาด การดำเนินกลยุทธ์ การควบคุมความเสี่ยง และการเพิ่มประสิทธิภาพไว้ในกระบวนการอัจฉริยะครบวงจร,"Công cụ quyết định NovaMind™ tích hợp phân tích thị trường, thực hiện chiến lược, kiểm soát rủi ro và tối ưu hóa trong một quy trình khép kín để đầu tư thông minh.","इसकी स्वामित्व NovaMind™ AI निर्णय इंजन बाजार को समझना, रणनीति को लागू करना, जोखिम नियंत्रण और अनुकूलन को एक बंद-लूप प्रक्रिया में जोड़ती है जिससे बुद्धिमान निवेश संभव होता है।","Die exklusive NovaMind™ KI-Entscheidungsengine integriert Marktwahrnehmung, Strategieumsetzung, Risikokontrolle und Optimierung in einem geschlossenen Prozess für intelligentes Investieren.","Le moteur décisionnel exclusif NovaMind™ AI intègre la perception du marché, l’exécution de la stratégie, le contrôle des risques et l’optimisation dans un processus en boucle fermée pour permettre un investissement intelligent.","O motor de decisão NovaMind™ AI exclusivo integra a perceção de mercado, execução de estratégias, controlo de risco e otimização num processo fechado para possibilitar investimentos inteligentes.","Su exclusivo motor de decisión NovaMind™ AI integra la percepción del mercado, la ejecución de estrategias, el control de riesgos y la optimización en un proceso cerrado para lograr una inversión inteligente.","Il motore decisionale NovaMind™ AI integra percezione del mercato, esecuzione della strategia, controllo del rischio e ottimizzazione in un processo chiuso per realizzare investimenti intelligenti.","De exclusieve NovaMind™ AI-beslissingsengine integreert marktperceptie, strategie-uitvoering, risicobeheer en optimalisatie tot een gesloten cyclus voor slimme investeringen.","Den eksklusive NovaMind™ AI-beslutningsmotoren integrerer markedsforståelse, strategiimplementering, risikostyring og optimalisering i en lukket syklus for intelligent investering.","Den exklusiva NovaMind™ AI-beslutsmotorn integrerar marknadsuppfattning, strategiutförande, riskkontroll och optimering i en sluten cykel för smart investering.","Motorul decizional AI NovaMind™ integrează percepția pieței, execuția strategiei, controlul riscurilor și optimizarea într-un proces în buclă închisă pentru investiții inteligente.","Exkluzivní rozhodovací engine NovaMind™ AI integruje vnímání trhu, realizaci strategie, řízení rizik a optimalizaci do uzavřeného procesu pro chytré investice."
faq.faq4,What are 9M AI’s core competitive advantages?,9M AI 的核心竞争优势是什么？,9M AI 的競爭優勢為何？,9M AIの競争優位性は？,9M AI의 핵심 경쟁력은 무엇인가요?,Apakah kelebihan utama 9M AI?,จุดแข็งของ 9M AI คืออะไร?,Lợi thế cạnh tranh cốt lõi của 9M AI là gì?,9M AI की मुख्य प्रतिस्पर्धात्मक विशेषताएँ क्या हैं?,Was ist der wichtigste Wettbewerbsvorteil von 9M AI?,Quel est l’avantage concurrentiel principal de 9M AI ?,Qual é a principal vantagem competitiva da 9M AI?,¿Cuál es la ventaja competitiva principal de 9M AI?,Qual è il principale vantaggio competitivo di 9M AI?,Wat is het belangrijkste concurrentievoordeel van 9M AI?,Hva er 9M AIs viktigste konkurransefortrinn?,Vad är 9M AIs kärnkonkurrensfördel?,Care este avantajul competitiv principal al 9M AI?,Jaká je hlavní konkurenční výhoda 9M AI?
faq.faq4Content,"As a global AI fintech company, 9M AI relies on a proprietary technology framework and unique algorithmic models—integrating market sensing, strategy execution, risk control, and optimization—to create differentiated performance in live trading.",作为一家全球 AI 金融科技公司，9M AI 拥有自主技术框架与独特算法模型，将市场感知、策略执行、风险控制与优化融为一体，在实盘交易中展现差异化表现。,作為全球性的 AI 金融科技公司，9M AI 擁有專屬技術架構與獨特演算法模型，整合市場感知、策略執行、風險控管與最佳化，在實盤交易中實現差異化的表現。,9M AIは、自社開発のテクノロジーとユニークなアルゴリズムを用い、市場感知・戦略遂行・リスクコントロール・最適化を統合し、リアルな取引で差別化された成果を実現しています。,"글로벌 AI 핀테크 기업으로서, 9M AI는 고유 기술 프레임워크와 독창적인 알고리즘을 기반으로 실시간 거래에서 차별화된 성과를 보여줍니다.","Sebagai syarikat fintech AI global, 9M AI menggunakan rangka kerja teknologi milik sendiri dan model algoritma unik yang mengintegrasikan pengesanan pasaran, pelaksanaan strategi, kawalan risiko dan pengoptimuman, menghasilkan prestasi dagangan langsung yang unggul.",9M AI มีเทคโนโลยีเป็นของตนเองและอัลกอริธึมเฉพาะที่รวมการตรวจจับตลาด การวางแผนกลยุทธ์ การควบคุมความเสี่ยง และการเพิ่มผลตอบแทน สร้างความได้เปรียบในการซื้อขายจริง,"9M AI sở hữu công nghệ và thuật toán độc quyền, tích hợp đầy đủ từ cảm biến thị trường đến kiểm soát rủi ro, giúp tạo ra hiệu suất khác biệt trong giao dịch thực tế.","एक वैश्विक AI फिनटेक कंपनी के रूप में, 9M AI का तकनीकी ढांचा और अनूठे एल्गोरिदमिक मॉडल इसे लाइव ट्रेडिंग में अलग प्रदर्शन प्रदान करते हैं।","Als globales KI-Fintech-Unternehmen verfügt 9M AI über eine eigene Technologiearchitektur und einzigartige Algorithmusmodelle, die Marktwahrnehmung, Strategieausführung, Risikokontrolle und Optimierung vereinen und so eine differenzierte Performance im Live-Handel ermöglichen.","En tant qu’entreprise mondiale de fintech basée sur l’IA, 9M AI dispose d’une architecture technologique propriétaire et de modèles algorithmiques uniques intégrant perception du marché, exécution de la stratégie, contrôle des risques et optimisation, offrant ainsi une performance différenciée en trading réel.","Como empresa global de tecnologia financeira com IA, a 9M AI possui uma arquitetura tecnológica própria e modelos algorítmicos exclusivos que integram a perceção do mercado, execução de estratégias, controlo de risco e otimização, destacando-se no desempenho em negociações ao vivo.","Como empresa global de tecnología financiera con IA, 9M AI cuenta con una arquitectura tecnológica propia y modelos algorítmicos únicos que integran percepción del mercado, ejecución estratégica, control de riesgos y optimización, mostrando un rendimiento diferenciado en operaciones en tiempo real.","In qualità di azienda fintech globale specializzata in intelligenza artificiale, 9M AI dispone di un’architettura tecnologica proprietaria e di modelli algoritmici unici che integrano percezione del mercato, esecuzione strategica, controllo del rischio e ottimizzazione, offrendo prestazioni differenziate nelle operazioni reali.","Als wereldwijde AI-fintech heeft 9M AI een eigen technologisch raamwerk en unieke algoritmemodellen die marktinzicht, strategie-uitvoering, risicobeheersing en optimalisatie combineren, wat zich onderscheidt in live trading.","Som et globalt AI-fintech-selskap har 9M AI et eget teknologisk rammeverk og unike algoritmemodeller som kombinerer markedsinnsikt, strategisk utførelse, risikokontroll og optimalisering i sanntidshandel.","Som ett globalt AI-fintech-företag har 9M AI ett eget tekniskt ramverk och unika algoritmer som integrerar marknadsförståelse, strategiutförande, riskkontroll och optimering, vilket ger differentierade resultat i realtidshandel.","În calitate de companie globală AI fintech, 9M AI deține un cadru tehnologic propriu și modele algoritmice unice care integrează percepția pieței, execuția strategiei, controlul riscului și optimizarea, oferind performanțe diferențiate în tranzacționarea live.","Jako globální AI fintech má 9M AI vlastní technologický rámec a unikátní algoritmické modely, které kombinují vnímání trhu, realizaci strategií, řízení rizik a optimalizaci, a v reálném obchodování dosahují odlišných výsledků."
faq.faq5,What products does 9M offer?,9M 提供哪些产品？,9M 提供哪些產品？,9Mの提供する商品は？,9M이 제공하는 상품은?,Apakah produk yang ditawarkan oleh 9M?,9M มีผลิตภัณฑ์อะไรบ้าง?,9M cung cấp những sản phẩm gì?,9M कौन से उत्पाद प्रदान करता है?,Welche Produkte bietet 9M an?,Quels produits propose 9M ?,Quais produtos a 9M oferece?,¿Qué productos ofrece 9M?,Quali prodotti offre 9M?,Welke producten biedt 9M aan?,Hvilke produkter tilbyr 9M?,Vilka produkter erbjuder 9M?,Ce produse oferă 9M?,Jaké produkty 9M nabízí?
faq.faq5Content,"Two main fund types:
AI Strategy Funds – Stake USDT + major coins to earn USD9
AI Stable Funds – Stake USDT + USD9 to earn 9MT
Both offer cycles from short-term to 360 days with principal redemption at maturity.","主要提供两类基金：
AI 策略基金：质押 USDT + 主流币种以赚取 USD9
AI 稳定基金：质押 USDT + USD9 以赚取 9MT
两类基金皆提供从短期至 360 天的周期，期满可赎回本金。","主要提供兩種基金：
AI 策略型基金：質押 USDT 與主流幣，獲取 USD9
AI 穩定型基金：質押 USDT 與 USD9，獲取 9MT
兩者皆提供從短期到 360 天不等的週期，期滿可贖回本金。","主に2種類のファンドがあります：
AI戦略ファンド：USDTと主要コインをステーキングしてUSD9を獲得
AI安定ファンド：USDTとUSD9をステーキングして9MTを獲得
どちらも短期から360日までの運用期間があり、満期時に元本が返却されます。","두 가지 주요 펀드 유형이 있습니다:
AI 전략 펀드 – USDT와 주요 코인을 스테이킹하여 USD9 획득
AI 스테이블 펀드 – USDT와 USD9을 스테이킹하여 9MT 획득
모든 펀드는 단기부터 360일까지 선택 가능하며, 만기 시 원금이 반환됩니다.","erdapat dua jenis dana utama:
Dana Strategi AI – Pertaruhkan USDT + syiling utama untuk menjana USD9
Dana Stabil AI – Pertaruhkan USDT + USD9 untuk menjana 9MT
Kedua-duanya menawarkan tempoh dari jangka pendek hingga 360 hari dengan penebusan prinsipal pada tarikh matang.","มี 2 ประเภทหลัก:
กองทุนกลยุทธ์ AI – เดิมพัน USDT + เหรียญหลัก เพื่อรับ USD9
กองทุนมั่นคง AI – เดิมพัน USDT + USD9 เพื่อรับ 9MT
ทั้งสองแบบมีรอบการลงทุนตั้งแต่ระยะสั้นถึง 360 วัน พร้อมคืนเงินต้นเมื่อครบกำหนด","Có hai loại quỹ chính:
Quỹ Chiến Lược AI – Stake USDT + các đồng coin chính để nhận USD9
Quỹ Ổn Định AI – Stake USDT + USD9 để nhận 9MT
Cả hai loại đều có chu kỳ từ ngắn hạn đến 360 ngày và hoàn trả gốc khi đến hạn.","दो मुख्य प्रकार की फंड योजनाएं:
AI रणनीति फंड – USDT + प्रमुख कॉइन्स स्टेक करें और USD9 अर्जित करें
AI स्थिर फंड – USDT + USD9 स्टेक करें और 9MT प्राप्त करें
दोनों योजनाएं अल्पकालिक से लेकर 360 दिनों तक की हैं, और परिपक्वता पर मूलधन की वापसी होती है।","Es werden hauptsächlich zwei Arten von Fonds angeboten:Strategischer KI-Fonds: Einsatz von USDT + Haupt-Coins zur Erzielung von USD9Stabiler KI-Fonds: Einsatz von USDT + USD9 zur Erzielung von 9MTBeide Fondsarten bieten Laufzeiten von kurzfristig bis zu 360 Tagen, nach Ablauf kann das Kapital zurückgefordert werden.","Deux types principaux de fonds sont proposés :Fonds Stratégique IA : mise en jeu de USDT + principales cryptomonnaies pour obtenir des USD9Fonds Stable IA : mise en jeu de USDT + USD9 pour obtenir des 9MTLes deux types de fonds proposent des durées allant du court terme à 360 jours, avec remboursement du capital à l’échéance.","Oferece principalmente dois tipos de fundos:Fundo de Estratégia AI: staking de USDT + moedas principais para ganhar USD9Fundo Estável AI: staking de USDT + USD9 para ganhar 9MTAmbos os fundos oferecem prazos de curto até 360 dias, com devolução do capital ao final do período.","Se ofrecen principalmente dos tipos de fondos:Fondo de Estrategia AI: staking de USDT + monedas principales para ganar USD9Fondo Estable AI: staking de USDT + USD9 para ganar 9MTAmbos los fondos ofrecen periodos desde corto plazo hasta 360 días, con reembolso del capital al vencimiento.","Vengono offerti principalmente due tipi di fondi:Fondo Strategico AI: staking di USDT + criptovalute principali per ottenere USD9Fondo Stabile AI: staking di USDT + USD9 per ottenere 9MTEntrambi i fondi offrono durate da breve termine fino a 360 giorni, con possibilità di rimborso del capitale a scadenza.",Hoofdzakelijk twee soorten fondsen: AI-strategiefonds (USDT + grote cryptomunten om USD9 te verdienen) en AI-stabiel fonds (USDT + USD9 om 9MT te verdienen). Beide bieden looptijden van kort tot 360 dagen en kunnen aan het einde worden ingewisseld.,Tilbyr hovedsakelig to typer fond: AI-strategifond (pantsett USDT + større kryptovalutaer for å tjene USD9) og AI-stabilt fond (pantsett USDT + USD9 for å tjene 9MT). Begge fondene tilbys med varighet fra kortsiktig til 360 dager og kan innløses ved forfall.,Erbjuder huvudsakligen två typer av fonder: AI-strategifond (pantsätt USDT + stora kryptovalutor för att tjäna USD9) och AI-stabil fond (pantsätt USDT + USD9 för att tjäna 9MT). Båda fonderna erbjuder löptider från korta till 360 dagar och kan lösas in vid förfall.,"Oferă în principal două tipuri de fonduri: Fond AI de strategie (gaj USDT + criptomonede majore pentru a câștiga USD9) și Fond AI stabil (gaj USDT + USD9 pentru a câștiga 9MT). Ambele fonduri au durate de la scurt termen la 360 zile, cu rambursarea capitalului la final.",Nabízí především dva typy fondů: AI strategický fond (zastavení USDT + hlavní kryptoměny k získání USD9) a AI stabilní fond (zastavení USDT + USD9 k získání 9MT). Oba fondy jsou dostupné s dobou trvání od krátké po 360 dní a lze je na konci vyplatit.
tabbar.home,Home,首页,首页,ホーム,홈,Laman Utama,หน้าแรก,Trang chủ,होम,Startseite,Accueil,Página inicial,Inicio,Pagina iniziale,Startpagina,Hjem,Startsida,Pagina principală,Domovská stránka
tabbar.assets,Assets,资产,资产,資産,자산,Aset,สินทรัพย์,Tài sản,एसेट्स,Vermögen,Actifs,Ativos,Activos,Risorse,Vermogen,Eiendeler,Tillgångar,Active,Aktiva
login.old_user_email_hint,Already have an account but not bound to email?,已有账户暂未绑定邮箱?,已有账户暂未绑定邮箱?,すでにアカウントをお持ちですが、メールに紐付けられていませんか？,계정이 있지만 이메일에 연결되지 않았나요?,Sudah ada akaun tetapi belum dikaitkan dengan e-mel?,Hai già un account ma non è associato all'email?,Đã có tài khoản nhưng chưa liên kết email?,पहले से ही एक खाता है लेकिन ईमेल से लिंक नहीं है?,Bestehendes Konto ohne verknüpfte E-Mail?,Vous avez un compte non lié à un email ?,Conta existente ainda não vinculada ao e-mail?,¿Tienes una cuenta que aún no está vinculada al correo electrónico?,Hai un account non ancora collegato all’email?,Heb je al een account maar nog geen e-mailadres gekoppeld?,"Har du allerede en konto, men ingen e-postadresse er tilknyttet?",Har du redan ett konto men inget e-postkonto kopplat?,Ai deja un cont dar nu ai atașat un e-mail?,"Máte již účet, ale ještě nemáte přiřazený e-mail?"
login.go_bind,Go Bind,去绑定,去綁定,今すぐ設定,바인딩 하기,Pergi Ikat,Vai a Collegare,Liên kết ngay,बांधने जाएं,Jetzt verknüpfen,Lier maintenant,Vincular agora,Vincular ahora,Collega ora,Koppel nu,Koble til,Koppla,Atașează,Připojit
login.bind,Go Bind,去绑定,去綁定,連携しに行く,연동하러 가기,Pergi ke Ikat,ไปที่ผูกมัด,Đi đến Liên kết,बाइंड पर जाएं,Jetzt verknüpfen,Lier maintenant,Vincular agora,Vincular ahora,Collega ora,Koppel nu,Koble til,Koppla,Atașează,Připojit
login.email,Email,邮箱,郵箱,メール,이메일,E-mel,อีเมล,Email,,E-Mail,E-mail,E-mail,Correo electrónico,Email,E-mailadres,E-post,E-postadress,E-mail,E-mail
login.appName,9M,9M,9M,9M,9M,9Jt,9 ล้าน,9M,9M,9M,9M,9M,9M,9M,9M,9M,9M,9M,9M
login.slogan,The AI That Knows How to Grow Your Money,会自己赚钱的AI,會自己賺錢的AI,お金を稼ぐAI,스스로 수익을 창출하는 AI,AI Yang Tahu Cara Mengembangkan Wang Anda,AI ที่รู้วิธีเพิ่มเงินของคุณ,Trí tuệ nhân tạo biết cách làm tăng tiền của bạn,एआई जो जानता है कि आपके पैसे कैसे बढ़ाएं,"Eine KI, die selbst Geld verdient",Une IA qui gagne de l’argent toute seule,Uma IA que gera lucro sozinha,Una IA que gana dinero por sí sola,Un’AI che guadagna da sola,AI die zelf geld verdient,AI som tjener penger selv,AI som tjänar pengar själv,AI care generează bani automat,"AI, která sama vydělává peníze"
login.loginTab,Login,登录,登入,ログイン,로그인,Log Masuk,เข้าสู่ระบบ,Đăng nhập,लॉगिन,Anmelden,Connexion,Entrar,Iniciar sesión,Accedi,Inloggen,Logg inn,Logga in,Autentificare,Přihlášení
login.registerTab,Register,注册,註冊,会員登録,회원가입,Daftar,ลงทะเบียน,Đăng ký,रजिस्टर करें,Registrieren,S’inscrire,Registrar-se,Registrarse,Registrati,Registreren,Registrer deg,Registrera dig,Înregistrare,Registrace
login.username,Username,账户名,帳號名,アカウント名,계정명,Nama Pengguna,ชื่อผู้ใช้,Tên người dùng,यूजरनेम,Kontoname,Nom du compte,Nome da conta,Nombre de cuenta,Nome account,Gebruikersnaam,Kontonavn,Kontonamn,Nume de utilizator,Uživatelské jméno
login.password,Password,密码,密碼,パスワード,비밀번호,Kata Laluan,รหัสผ่าน,Mật khẩu,पासवर्ड,Passwort,Mot de passe,Senha,Contraseña,Password,Wachtwoord,Passord,Lösenord,Parolă,Heslo
login.confirmPassword,Confirm Password,确认密码,確認密碼,パスワード確認,비밀번호 확인,Sahkan Kata Laluan,ยืนยันรหัสผ่าน,Xác nhận mật khẩu,पासवर्ड की पुष्टि करें,Passwort bestätigen,Confirmer le mot de passe,Confirmar senha,Confirmar contraseña,Conferma password,Bevestig wachtwoord,Bekreft passord,Bekräfta lösenord,Confirmare parolă,Potvrdit heslo
login.inviteCode,Invitation Code (Required),邀请码（必填）,邀請碼（必填）,招待コード（必須）,초대 코드 (필수),Kod Jemputan (Diperlukan),รหัสคำเชิญ (จำเป็น),Mã mời (Bắt buộc),आमंत्रण कोड (आवश्यक),Einladungscode (erforderlich),Code d’invitation (obligatoire),Código de convite (obrigatório),Código de invitación (obligatorio),Codice invito (obbligatorio),Uitnodigingscode (verplicht),Invitasjonskode (påkrevd),Inbjudningskod (obligatorisk),Cod de invitație (obligatoriu),Pozvánkový kód (povinné)
login.forgotPassword,Forgot Password?,忘记密码？,忘記密碼？,パスワードをお忘れですか？,비밀번호를 잊으셨나요?,Lupa Kata Laluan?,ลืมรหัสผ่าน?,Quên mật khẩu?,पासवर्ड भूल गए?,Passwort vergessen?,Mot de passe oublié ?,Esqueceu a senha?,¿Olvidaste tu contraseña?,Password dimenticata?,Wachtwoord vergeten?,Glemt passord?,Glömt lösenord?,Ai uitat parola?,Zapomněli jste heslo?
login.loginBtn,Login,登录,登入,ログイン,로그인,Log Masuk,เข้าสู่ระบบ,Đăng nhập,लॉगिन,Anmelden,Connexion,Entrar,Iniciar sesión,Accedi,Inloggen,Logg inn,Logga in,Autentificare,Přihlášení
login.registerBtn,Register,注册,註冊,登録,회원가입,Daftar,ลงทะเบียน,Đăng ký,रजिस्टर करें,Registrieren,S’inscrire,Registrar-se,Registrarse,Registrati,Registreren,Registrer deg,Registrera dig,Înregistrare,Registrace
login.setUsername,Set Username,设置账户名,設定帳號名,アカウント名を設定,계정 이름 설정,Tetapkan Nama Pengguna,ตั้งชื่อผู้ใช้,Đặt tên người dùng,यूजरनेम सेट करें,Kontoname festlegen,Définir le nom du compte,Definir nome da conta,Configurar nombre de cuenta,Imposta nome account,Stel gebruikersnaam in,Angi kontonavn,Ställ in kontonamn,Configurează numele de utilizator,Nastavit uživatelské jméno
login.agreement,I have read and agree to the,我已阅读并同意,我已閱讀並同意,同意および確認しました,동의 및 확인하였습니다,Saya telah membaca dan bersetuju dengan,ฉันได้อ่านและยอมรับ,Tôi đã đọc và đồng ý với,मैंने पढ़ लिया है और मैं सहमत हूं,Ich habe gelesen und stimme zu,J’ai lu et j’accepte,Li e concordo,He leído y acepto,Ho letto e accetto,Ik heb gelezen en ga akkoord med,Jeg har lest og godtar,Jag har läst och godkänner,Am citit și sunt de acord cu,Přečetl jsem si a souhlasím s
login.serviceTerms,Terms of Service,《服务条款》,《服務條款》,《サービス約款》,《서비스 약관》,Terma Perkhidmatan,ข้อกำหนดการให้บริการ,Điều khoản dịch vụ,सेवा की शर्तें,„Nutzungsbedingungen“,“Conditions d’utilisation”,“Termos de Serviço”,“Términos del Servicio”,“Termini di servizio”,de Servicevoorwaarden,Vilkår for bruk,Användarvillkor,Termenii serviciului,Smluvní podmínky
login.privacyPolicy,Privacy Policy,《隐私政策》,《隱私政策》,《プライバシーポリシー》,《개인정보 보호정책》,Dasar Privasi,นโยบายความเป็นส่วนตัว,Chính sách bảo mật,गोपनीयता नीति,„Datenschutzrichtlinie“,“Politique de confidentialité”,“Política de Privacidade”,“Política de privacidad”,“Informativa sulla privacy”,het Privacybeleid,Personvernerklæringen,Integritetspolicyn,Politica de confidențialitate,Zásady ochrany osobních údajů
login.and,and,和,和,および,및,dan,และ,và,और,und,et,e,y,e,en,og,och,și,a
login.inputUsername,Please enter your username,请输入账户名,請輸入帳號名,アカウント名を入力してください,계정 이름을 입력하세요,Sila masukkan nama pengguna anda,กรุณาใส่ชื่อผู้ใช้ของคุณ,Vui lòng nhập tên người dùng,कृपया अपना यूजरनेम दर्ज करें,Bitte Kontoname eingeben,Veuillez saisir un nom de compte,Digite o nome da conta,Ingrese el nombre de la cuenta,Inserisci nome account,Voer gebruikersnaam in,Vennligst skriv inn kontonavn,Vänligen ange kontonamn,Vă rugăm să introduceți numele de utilizator,Zadejte prosím uživatelské jméno
login.inputPassword,Please enter your password,请输入密码,請輸入密碼,パスワードを入力してください,비밀번호를 입력하세요,Sila masukkan kata laluan anda,กรุณาใส่รหัสผ่านของคุณ,Vui lòng nhập mật khẩu,कृपया अपना पासवर्ड दर्ज करें,Bitte Passwort eingeben,Veuillez entrer le mot de passe,Digite a senha,Ingrese la contraseña,Inserisci la password,Voer wachtwoord in,Skriv inn passord,Ange lösenord,Vă rugăm să introduceți parola,Zadejte prosím heslo
login.inputConfirmPassword,Please confirm your password,请输入确认密码,請輸入確認密碼,確認用パスワードを入力してください,비밀번호를 다시 입력하세요,Sila sahkan kata laluan anda,กรุณายืนยันรหัสผ่านของคุณ,Vui lòng xác nhận mật khẩu,कृपया अपने पासवर्ड की पुष्टि करें,Bitte Passwort bestätigen,Veuillez confirmer le mot de passe,Confirme a senha,Confirme la contraseña,Inserisci nuovamente la password,Voer bevestigingswachtwoord in,Skriv inn bekreft passord,Ange bekräfta lösenord,Intoduceți confirmarea parolei,Zadejte prosím potvrzení hesla
login.inputInviteCode,Please enter the invitation code,请输入邀请码,請輸入邀請碼,招待コードを入力してください,초대 코드를 입력하세요,Sila masukkan kod jemputan,กรุณาใส่รหัสคำเชิญ,Vui lòng nhập mã mời,कृपया आमंत्रण कोड दर्ज करें,Bitte Einladungscode eingeben,Veuillez entrer le code d’invitation,Insira o código de convite,Ingrese el código de invitación,Inserisci il codice invito,Voer uitnodigingscode in,Skriv inn invitasjonskode,Ange inbjudningskod,Vă rugăm să introduceți codul de invitație,Zadejte prosím pozvánkový kód
login.loginSuccess,Login successful,登录成功,登入成功,ログイン成功,로그인 성공,Log masuk berjaya,เข้าสู่ระบบสำเร็จ,Đăng nhập thành công,लॉगिन सफल,Anmeldung erfolgreich,Connexion réussie,Login bem-sucedido,Inicio de sesión exitoso,Accesso riuscito,Inloggen geslaagd,Innlogging vellykket,Inloggning lyckades,Autentificare reușită,Přihlášení úspěšné
login.loginSuccessContent,"To ensure your account security, please bind Google Authenticator before proceeding with asset withdrawals and other sensitive actions.",为确保您的账户安全，您还需绑定Google验证器才能进行资产提现等相关操作,為了確保您的帳戶安全，您需要綁定 Google 驗證器，才能進行資產提現等相關操作。,アカウントの安全性を確保するために、Google認証アプリを連携する必要があります。これにより資産の引き出しなどが可能になります。,계정 보안을 위해 Google 인증기를 연동해야 자산 출금 등의 작업이 가능합니다.,"Untuk memastikan keselamatan akaun anda, sila ikat Google Authenticator sebelum meneruskan pengeluaran aset dan tindakan sensitif lain.",เพื่อความปลอดภัยของบัญชีของคุณ กรุณาผูกแอป Google Authenticator ก่อนดำเนินการถอนสินทรัพย์หรือการกระทำสำคัญอื่นๆ,"Để đảm bảo an toàn cho tài khoản của bạn, vui lòng liên kết Google Authenticator trước khi thực hiện rút tài sản và các thao tác nhạy cảm khác.","अपने खाते की सुरक्षा सुनिश्चित करने के लिए, संपत्ति निकासी और अन्य संवेदनशील कार्यों को आगे बढ़ाने से पहले कृपया Google Authenticator बाइंड करें।","Zur Sicherheit müssen Sie Google Authenticator aktivieren, um Auszahlungen durchzuführen","Pour la sécurité, liez Google Authenticator avant tout retrait","Para sua segurança, ative o Google Authenticator para saques","Para su seguridad, vincule Google Authenticator para retirar fondos","Per la sicurezza, collega Google Authenticator per prelievi e operazioni","Om uw account te beveiligen, moet u Google Authenticator koppelen om activa op te nemen en andere handelingen uit te voeren",For å sikre kontoen din må du koble til Google Authenticator for å foreta uttak av eiendeler og lignende handlinger,För att säkra ditt konto måste du ansluta Google Authenticator för att kunna göra uttag och andra operationer,"Pentru a vă proteja contul, trebuie să conectați Google Authenticator pentru a efectua retrageri de active și alte operațiuni","Aby byla vaše účet bezpečný, musíte propojit Google Authenticator, abyste mohli provádět výběry aktiv a další operace"
